year,round,points,position,grid,status
2019,0,12.0,4,3,Finished
2019,0,10.0,5,5,Finished
2019,0,16.0,3,1,Finished
2019,0,10.0,5,2,Finished
2019,0,15.0,3,3,Finished
2019,0,10.0,5,4,Finished
2019,0,15.0,3,3,Finished
2019,0,11.0,5,8,Finished
2019,0,12.0,4,3,Finished
2019,0,10.0,5,5,Finished
2020,0,18.0,2,7,Finished
2020,0,1.0,10,11,Finished
2020,0,0.0,19,14,Collision damage
2020,0,0.0,20,10,Collision damage
2020,0,8.0,6,5,+1 Lap
2020,0,0.0,11,6,+1 Lap
2020,0,15.0,3,4,Finished
2020,0,1.0,10,10,Finished
2020,0,12.0,4,8,Finished
2020,0,0.0,12,11,Finished
2021,0,8.0,6,4,Finished
2021,0,4.0,8,8,Finished
2021,0,12.0,4,4,Finished
2021,0,10.0,5,11,Finished
2021,0,8.0,6,8,Finished
2021,0,0.0,11,5,Finished
2021,0,12.0,4,4,Finished
2021,0,6.0,7,6,Finished
2021,0,18.0,2,4,Finished
2021,0,0.0,20,1,Driveshaft
2022,0,26.0,1,1,Finished
2022,0,18.0,2,3,Finished
2022,0,19.0,2,2,Finished
2022,0,15.0,3,3,Finished
2022,0,26.0,1,1,Finished
2022,0,0.0,20,9,Spun off
2022,0,8.0,6,2,Finished
2022,0,0.0,20,4,Collision
2022,0,18.0,2,1,Finished
2022,0,15.0,3,2,Finished
2023,0,12.0,4,4,Finished
2023,0,0.0,19,3,Retired
2023,0,8.0,6,4,Finished
2023,0,6.0,7,12,Finished
2023,0,0.0,12,5,Finished
2023,0,0.0,20,7,Retired
2023,0,15.0,3,1,Finished
2023,0,10.0,5,4,Finished
2023,0,10.0,5,3,Finished
2023,0,6.0,7,7,Finished
2024,0,15.0,3,4,Finished
2024,0,12.0,4,2,Finished
2024,0,16.0,3,2,Finished
2024,0,6.0,7,11,Finished
2024,0,25.0,1,2,Finished
2024,0,19.0,2,4,Finished
2024,0,15.0,3,4,Finished
2024,0,12.0,4,8,Finished
2024,0,12.0,4,6,Finished
2024,0,10.0,5,7,Finished
2025,0,4.0,8,7,Finished
2025,0,1.0,10,8,Finished
2025,0,0.0,18,6,Disqualified
2025,0,0.0,19,5,Disqualified
2025,0,12.0,4,4,Finished
2025,0,6.0,7,8,Finished
2025,0,12.0,4,2,Finished
2025,0,10.0,5,9,Finished
2025,0,15.0,3,4,Finished
2025,0,6.0,7,7,Finished
